Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
Anandpuri,25.63533733,85.16554607,-89.49353555,0,2.535645523,123.6947411,LTE,-85.9987511,-97.819515,-91.34882637
Anandpuri,25.56940359,85.08477625,-94.60061592,0,2.287326217,150.9470036,LTE,-97.27515597,-100.1237252,-91.90034115
Boring Canal Road,25.67541897,85.19272831,-96.2671036,0,85.42789252,34.53634806,5G,-94.44415935,-103.748103,-93.73281339
Ashok Rajpath,25.62100701,84.99838558,-98.2585372,0,56.38536743,20.44434963,5G,-100.735312,-104.110891,-98.97467066
Fraser Road,25.53558879,85.14476191,-89.64107632,0,37.02490755,35.41733655,5G,-93.56207391,-94.7914191,-92.29212667
S.K. Puri,25.68811381,85.2320841,-92.73860196,0,89.30681438,28.54103636,5G,-88.30797189,-98.62382759,-90.33206279
Danapur,25.56298522,85.14502341,-99.68918158,0,41.55975453,10.57456099,5G,-99.38745638,-108.2844746,-102.6179861
Danapur,25.46493225,85.25965939,-87.42432113,0,4.55776129,83.5333673,4G,-90.69498743,-93.52370977,-84.88613969
Anandpuri,25.61859723,85.31300193,-92.23181226,0,5.396077922,97.57498089,4G,-96.72314292,-101.3573906,-89.4061376
Fraser Road,25.70728746,85.23378024,-89.26190443,0,7.726912386,96.31374117,4G,-91.05286776,-94.88338278,-89.89251494
Kumhrar,25.73858566,85.15546275,-90.14336392,0,2.396243559,185.0354783,LTE,-93.43065442,-97.95447052,-91.63448275
Boring Road,25.47888015,85.12638062,-93.69498146,0,2.991775814,178.0937262,LTE,-97.24230898,-102.0822578,-93.98461996
Anandpuri,25.60720452,85.31308906,-83.23259995,0,2.024748344,111.0913228,3G,0,0,0
Exhibition Road,25.46519617,85.02261579,-94.61240121,0,96.45015015,49.84509392,5G,-94.05737169,-103.417622,-92.14580699
Bailey Road,25.5873137,85.22379435,-84.51152176,0,2.687446618,108.5867053,3G,0,0,0
Anandpuri,25.65080482,84.9825995,-89.9193791,0,1.756561385,190.2269583,LTE,-94.55012541,-99.35559416,-90.44614572
Anandpuri,25.55780303,85.06173963,-91.76944116,0,2.474612324,161.1863333,LTE,-87.38612285,-96.82331195,-89.68573687
Ashok Rajpath,25.6169726,85.12207438,-85.70614192,0,2.620578461,193.185078,3G,0,0,0
Phulwari Sharif,25.56624762,84.96681059,-86.4866292,0,6.814985658,55.21369996,4G,-83.19207641,-95.83061688,-87.5908684
Fraser Road,25.49657889,85.15893809,-89.55919804,0,2.520772709,152.1048263,LTE,-86.75140006,-96.79176329,-92.53814702
Anandpuri,25.54018798,85.23862813,-92.53362358,0,35.67911736,15.88620529,5G,-96.66832986,-101.3251369,-91.11429572
Ashok Rajpath,25.61308146,84.98939779,-88.8300442,0,2.934226331,102.3818175,3G,0,0,0
Anandpuri,25.75274489,85.10784576,-81.95068567,0,3.887098813,80.59290001,4G,-80.97328489,-91.21521542,-82.52619007
Bankipore,25.61846645,85.02793016,-88.45603676,0,1.865483651,137.0862327,LTE,-84.38503314,-97.86460351,-91.22047197
Exhibition Road,25.54382488,85.01133874,-93.15853893,0,9.894169015,87.98660679,4G,-93.7867383,-100.4881304,-92.4038448
Kankarbagh,25.50440866,85.24584344,-96.22777942,0,1.259561535,105.1373504,LTE,-95.42192186,-101.4954563,-94.22003098
Gardanibagh,25.53747376,85.2344077,-90.94745147,0,1.753036702,144.6921292,LTE,-91.76054471,-97.16435838,-88.37976633
Kumhrar,25.54801604,85.0173284,-87.65676493,0,27.39391215,15.40744728,5G,-89.01613208,-94.62176646,-89.77836983
Anisabad,25.63916013,85.21629537,-96.82065226,0,59.7179812,24.98470045,5G,-100.252523,-106.3080037,-94.61101147
Boring Canal Road,25.55047652,85.10762713,-87.86795676,0,16.43927789,40.12837076,5G,-86.33365907,-93.90080643,-85.23255301
Phulwari Sharif,25.74270206,85.1914729,-92.70538397,0,4.283640082,77.26460488,4G,-92.92535918,-101.1229058,-92.60406265
Fraser Road,25.63856159,85.14251157,-89.10414388,0,2.353123045,182.9877496,3G,0,0,0
Boring Canal Road,25.64377985,85.04752366,-89.90876723,0,46.15640759,49.79832481,5G,-94.7220193,-96.4284562,-87.41344146
Anandpuri,25.65147398,85.10487643,-90.42366865,0,1.943975172,164.087889,LTE,-94.52260026,-96.6130325,-90.52624319
Exhibition Road,25.43566911,85.06929857,-88.83178377,0,1.559837595,198.1001676,LTE,-89.72651123,-98.63912203,-89.68557661
Boring Canal Road,25.65554297,85.0966888,-89.46780827,0,9.86180573,94.84189074,4G,-91.96245767,-97.41683394,-87.52123808
Pataliputra,25.60421215,85.20607941,-89.08132698,0,2.265813008,150.1779564,3G,0,0,0
Patliputra Colony,25.6210059,85.18421673,-89.30930845,0,8.287695511,75.55250611,4G,-90.54225676,-96.89544708,-92.10731728
Boring Canal Road,25.62340284,85.09701593,-93.46573193,0,1.979335979,161.5053864,LTE,-90.17933154,-100.1759934,-94.27304623
Bailey Road,25.48199006,85.10490126,-84.83386185,0,5.435607791,67.58617215,4G,-85.15430871,-90.10421908,-82.21775312
Kumhrar,25.72787568,85.21530198,-89.98996076,0,9.277066193,89.76653981,4G,-94.70474879,-95.58365913,-90.27601179
Kidwaipuri,25.69850666,85.14245002,-91.96719227,0,3.440289844,68.3340228,4G,-91.2098527,-99.66430446,-93.87735894
Bailey Road,25.57324523,85.21413038,-91.08406565,0,2.398449149,158.9521286,LTE,-91.52862994,-99.76729201,-88.6406784
Boring Road,25.66628977,85.03517015,-96.48482991,0,51.45432633,39.72185579,5G,-99.34934669,-103.0614462,-96.64200977
Boring Road,25.66766006,85.01321312,-91.74889832,0,49.23414143,14.75775698,5G,-87.17732909,-100.3970457,-93.08189104
Fraser Road,25.51731782,85.22009234,-89.27677741,0,52.50665583,26.71755014,5G,-87.88083131,-97.39778147,-89.05742001
Patliputra Colony,25.53624953,85.09147973,-93.02239299,0,2.789075723,150.7625395,LTE,-91.2006024,-98.14107213,-91.32261521
Patliputra Colony,25.74373606,85.13932687,-101.4265066,0,65.81387017,49.58936609,5G,-105.8198252,-111.0543221,-101.0624114
Ashok Rajpath,25.63702122,85.03263945,-77.1867699,0,1.395188393,187.1201076,3G,0,0,0
Kankarbagh,25.69159805,85.14187618,-93.66780469,0,2.212033602,134.1406204,LTE,-96.71187797,-102.4538497,-92.61721256
Gandhi Maidan,25.62951815,85.29072965,-90.32513701,0,80.73080856,48.68275336,5G,-89.91514868,-97.77233728,-93.24694506
S.K. Puri,25.72788223,85.11370739,-95.60384231,0,76.62425034,29.88921096,5G,-96.49981681,-105.3912523,-98.4662493
Bailey Road,25.76407052,85.17862301,-85.88481053,0,6.371188472,52.5524856,4G,-81.84784971,-93.2997293,-85.61386709
Kankarbagh,25.55975271,85.10470195,-93.65457445,0,12.36987653,18.72110828,5G,-91.32970009,-102.5468124,-91.18872888
Patliputra Colony,25.56180534,85.20653157,-94.42275757,0,33.93241115,17.24826727,5G,-90.42796694,-103.9903645,-95.86116126
Gandhi Maidan,25.55194498,85.17775041,-85.16257236,0,1.546837558,168.4696929,3G,0,0,0
Anisabad,25.65178114,85.11496087,-94.4730757,0,37.61565427,20.6099125,5G,-94.41569904,-99.98376817,-93.76452418
Exhibition Road,25.50461443,85.24258497,-98.58219948,0,60.98026145,13.88312256,5G,-95.58608035,-107.3015465,-98.26596442
S.K. Puri,25.7566905,85.18250609,-93.37231725,0,8.1233127,77.85842633,4G,-90.9481523,-103.3654904,-95.84948853
Gardanibagh,25.52522011,85.25026533,-93.54845675,0,1.252766613,170.0164221,LTE,-93.26990255,-102.1387919,-95.46697997
Boring Road,25.7129015,85.16506896,-86.83331525,0,1.101258506,158.7636515,3G,0,0,0
Rajendra Nagar,25.51448553,85.16483072,-88.90507218,0,1.76477412,117.2335298,3G,0,0,0
Gardanibagh,25.72177231,85.04383929,-97.39196614,0,21.95547911,17.90636557,5G,-96.62269179,-105.9641243,-98.18342416
Bankipore,25.46906557,85.2002112,-83.89138745,0,2.583594856,197.0293432,3G,0,0,0
S.K. Puri,25.63637429,85.07905413,-90.43858811,0,2.740686791,163.764073,LTE,-89.22731702,-96.24653815,-90.47272688
Anisabad,25.70325242,85.22046775,-94.01703204,0,78.80066256,12.91206056,5G,-91.30793463,-100.8212236,-96.31856457
Kumhrar,25.6530188,85.11143369,-93.01214341,0,2.583196931,132.2069361,LTE,-88.05414479,-101.1287803,-94.25538088
Kumhrar,25.61154459,85.04063869,-87.32014549,0,2.19633003,151.3109597,LTE,-84.74404432,-93.14595762,-87.93709667
Patliputra Colony,25.59982852,85.12061471,-93.93057663,0,7.876255331,53.02928876,4G,-96.03035713,-100.4617101,-95.82632823
Exhibition Road,25.51259851,85.08085495,-84.28167984,0,1.413533345,118.2501018,LTE,-83.68903756,-93.75930575,-82.35181251
Rajendra Nagar,25.60439478,84.98668469,-90.45529051,0,8.629534766,54.93701693,4G,-92.69925453,-98.58998197,-92.83189529
Danapur,25.65212538,84.97488648,-93.43904254,0,2.40872194,127.9611011,LTE,-90.10555643,-100.5419397,-93.7578491
Exhibition Road,25.61040375,85.18794357,-94.06364031,0,7.57310232,99.59207658,4G,-96.3520034,-101.7565006,-96.88544502
Anisabad,25.70423493,85.222382,-88.24108551,0,6.19488428,74.67747451,4G,-86.635465,-97.06815539,-89.55625587
Patliputra Colony,25.5317616,85.05687492,-91.25140526,0,1.12426237,171.186465,LTE,-89.02558695,-100.3656865,-90.2421341
Boring Canal Road,25.75538022,85.18364782,-88.66620178,0,1.092022715,189.0832516,LTE,-90.17614193,-96.95541901,-87.80647415
Ashok Rajpath,25.58210389,85.28589973,-88.13493713,0,8.684652261,80.49295303,4G,-86.54791007,-97.39859501,-88.31393105
Kidwaipuri,25.5911169,85.16781844,-89.09779809,0,2.446708259,173.9612481,LTE,-92.30879936,-97.04189614,-87.14317291
Kumhrar,25.61922068,85.26954575,-84.65241244,0,1.240286454,134.6088724,3G,0,0,0
Ashok Rajpath,25.51013354,85.16992783,-94.06692437,0,2.278560204,151.440116,LTE,-97.23270584,-100.0166995,-94.23375318
Rajendra Nagar,25.55478915,85.01926308,-89.05159587,0,7.438822425,95.76862244,4G,-88.91880255,-97.04770571,-90.74585934
Gandhi Maidan,25.71758254,85.02858935,-87.55330352,0,9.384278157,89.50218085,4G,-92.3434498,-92.85623559,-84.86215197
Bankipore,25.65604252,85.14065189,-92.02755435,0,27.64905872,29.21134156,5G,-91.0002949,-97.36686672,-94.01101191
Bailey Road,25.47421349,85.19612735,-85.79638603,0,9.671741214,74.57131674,4G,-85.66465448,-91.85575734,-84.62410775
Boring Canal Road,25.6007362,85.21642172,-97.78324708,0,3.229139486,55.81678612,4G,-97.27438147,-104.3052226,-98.35595301
Pataliputra,25.7017225,85.0214811,-91.99641396,0,9.514944868,54.32060261,4G,-88.99388515,-101.3530583,-94.51475086
Kumhrar,25.59334417,84.96374472,-85.99192247,0,20.96767344,37.1329985,5G,-90.1492002,-91.95680788,-83.12521942
Bailey Road,25.61633979,85.25975217,-94.51887221,0,94.85497289,24.9316264,5G,-93.27538193,-103.5231432,-96.8556344
Bankipore,25.57549407,85.18153649,-94.2090825,0,61.23483885,41.19480632,5G,-91.07677079,-99.747233,-91.8023653
Bankipore,25.66637464,85.01802148,-83.85514528,0,2.32532043,107.3846503,3G,0,0,0
Bankipore,25.58036133,85.26495808,-93.90922701,0,66.97270183,32.88919931,5G,-91.95976269,-103.1892769,-91.31336153
Ashok Rajpath,25.50146528,85.05276483,-88.90737982,0,7.567226747,98.9942031,4G,-88.92337671,-95.87552883,-90.9302357
Anandpuri,25.56581448,85.09582934,-87.07609825,0,8.755874055,72.81282902,4G,-87.41016281,-93.17141708,-85.44811246
Kumhrar,25.51277536,85.13454222,-86.92983854,0,2.494818924,160.6020844,3G,0,0,0
Patliputra Colony,25.64563046,85.19291582,-105.6742858,0,80.78160208,31.07340371,5G,-104.5977664,-115.1742697,-105.8453847
Phulwari Sharif,25.41866325,85.1062549,-94.07115445,0,9.626890041,94.82066184,4G,-96.7161816,-102.7573556,-91.18252602
Boring Road,25.59294977,85.21111029,-93.90377497,0,1.956143809,160.8888885,LTE,-91.98980813,-101.1714246,-94.62581488
Phulwari Sharif,25.6921216,85.24991515,-96.57437034,0,38.604422,14.95408341,5G,-92.197764,-104.5755419,-99.01316657
Anandpuri,25.62361489,85.22106073,-86.68379252,0,32.13997014,14.27474639,5G,-89.56734795,-93.50172821,-86.87103588
Ashok Rajpath,25.43681383,85.1993269,-91.72204826,0,12.70447326,13.03501439,5G,-94.73606211,-97.7874706,-89.92691783
Ashok Rajpath,25.47254783,85.01128712,-84.85472395,0,7.268016219,53.47856321,4G,-82.25533246,-93.54142613,-83.82416588
Gardanibagh,25.57992066,85.28237957,-93.70695736,0,2.948863594,193.4071826,LTE,-97.42124456,-102.168375,-91.60215663
Ashok Rajpath,25.7162842,85.1872284,-86.21434886,0,1.482863718,136.975917,3G,0,0,0
Fraser Road,25.75600915,85.06513679,-93.30240093,0,2.119836033,129.299618,LTE,-91.43235244,-99.28121844,-92.61885316
Pataliputra,25.49752215,85.01058412,-83.14390181,0,2.552555382,182.3830819,LTE,-87.41040822,-89.62885724,-83.74955685
Gardanibagh,25.70766306,85.16238854,-79.16209446,0,1.582311087,122.0718108,3G,0,0,0
Kankarbagh,25.61049463,85.01497234,-92.36523344,0,95.4339144,24.94438726,5G,-96.22860644,-98.25567759,-91.15865859
Rajendra Nagar,25.49792409,85.00807277,-86.47407921,0,2.53717201,163.8572231,3G,0,0,0
Boring Road,25.69944929,85.07365181,-88.27581147,0,1.284709413,140.7406098,3G,0,0,0
Phulwari Sharif,25.64722869,85.25998935,-96.90949552,0,70.11177438,29.13879907,5G,-95.88426575,-104.0937864,-95.33149403
Kidwaipuri,25.54369938,85.1926951,-90.80377099,0,1.810283772,178.24233,3G,0,0,0
Fraser Road,25.65349598,85.20504325,-91.22888179,0,3.559676888,75.13539521,4G,-91.09819026,-97.04384585,-88.75047678
Bankipore,25.64122226,84.97754254,-82.13964611,0,2.212938816,139.6502225,3G,0,0,0
Anisabad,25.76291896,85.14266296,-87.55417468,0,91.44703168,29.35212515,5G,-87.7926893,-95.20218164,-86.81554297
Rajendra Nagar,25.63968343,85.22064727,-89.24817732,0,58.01980699,11.03317279,5G,-84.67520561,-96.39694049,-87.00122657
Fraser Road,25.59774914,85.28548813,-89.3446472,0,2.350545181,128.3147407,3G,0,0,0
Anandpuri,25.63362651,85.22783437,-85.33949944,0,1.553086819,146.7556187,3G,0,0,0
Patliputra Colony,25.59875882,85.01526082,-85.36165348,0,1.041153482,161.5927255,3G,0,0,0
Phulwari Sharif,25.5980382,85.0973618,-92.61040019,0,1.549852894,103.9793623,LTE,-94.9978201,-102.1194219,-93.24470168
Patliputra Colony,25.44640672,85.19645689,-101.4780898,0,78.73094244,39.0655388,5G,-96.56361077,-107.6512711,-103.6408907
Ashok Rajpath,25.42542065,85.12832155,-83.02632492,0,2.627466981,142.3674576,3G,0,0,0
Gandhi Maidan,25.65104135,85.09423476,-91.63422042,0,2.869332675,152.6742714,LTE,-95.70970505,-99.64880738,-91.02434108
Boring Road,25.57282453,85.01715259,-106.7578094,0,67.97568987,24.28374014,5G,-104.6026631,-112.2338405,-106.7644257
Ashok Rajpath,25.61147819,85.06789265,-101.3413904,0,32.78761106,32.55137184,5G,-102.2876657,-109.6133539,-102.4798904
Kankarbagh,25.49213995,85.09571665,-96.73210922,0,24.58513577,14.10097229,5G,-96.54708717,-103.0932138,-97.78857685
Bankipore,25.51880061,85.28701071,-81.10066507,0,1.037257065,120.9136617,LTE,-78.20747255,-88.83186108,-83.34496196
Kumhrar,25.75800965,85.18243211,-98.14667342,0,9.104027393,69.62763002,4G,-97.56892223,-103.2634528,-97.29043784
Gandhi Maidan,25.52907514,85.09405089,-91.78091531,0,56.10212023,26.51138253,5G,-94.801735,-99.47314769,-90.62351195
Boring Canal Road,25.55707353,85.29395262,-92.5878978,0,3.473869635,74.99857431,4G,-89.16807052,-102.2928146,-92.33394164
Bankipore,25.47612407,85.1014661,-92.07875428,0,9.032823799,91.54102424,4G,-93.26204,-100.020264,-92.97339988
Phulwari Sharif,25.52258363,85.01080179,-82.06189434,0,2.629896839,162.5642622,3G,0,0,0
Kumhrar,25.42216927,85.18656285,-82.664167,0,2.276120763,164.0134924,3G,0,0,0
Anisabad,25.66365672,85.26411148,-83.62296723,0,1.141805874,160.5698252,3G,0,0,0
S.K. Puri,25.61817449,84.96213845,-91.30103182,0,1.677017011,133.3735304,LTE,-91.31557249,-98.77518574,-91.47243615
Boring Road,25.65918168,85.1199462,-83.63425787,0,7.503416157,94.26317868,4G,-81.13442891,-93.32618901,-85.95918197
Kumhrar,25.43397371,85.12696973,-90.30185991,0,2.709055586,162.03356,LTE,-86.76659044,-99.07848987,-90.52904543
Boring Road,25.69168668,85.25321593,-86.60203758,0,2.630144987,120.168996,LTE,-81.65080759,-94.22318533,-85.29263995
Rajendra Nagar,25.43634101,85.07092306,-86.04347937,0,1.672785998,107.0936179,LTE,-87.78665106,-95.1203079,-84.32583949
Bankipore,25.6798512,85.20499517,-100.3202795,0,30.78775212,40.92202867,5G,-101.445846,-108.8146464,-101.9864511
Pataliputra,25.54492872,85.00346715,-78.80604914,0,2.503577662,148.0024892,3G,0,0,0
Gardanibagh,25.74825373,85.09217334,-88.34718653,0,2.911445256,161.9826595,3G,0,0,0
Rajendra Nagar,25.67117702,85.12070621,-86.95760007,0,1.165234862,138.3968618,3G,0,0,0
Pataliputra,25.68235192,85.15115396,-80.38366813,0,1.314926821,118.0932728,3G,0,0,0
Boring Canal Road,25.71976864,85.24187874,-78.68826712,0,1.074692556,117.4106204,3G,0,0,0
Anandpuri,25.57391675,85.26452867,-90.79041341,0,3.370122192,81.24570181,4G,-93.88867115,-98.22058682,-93.17194071
Kidwaipuri,25.64209025,85.17193649,-98.31671318,0,19.13069845,45.81513892,5G,-94.08923483,-106.9117005,-97.99803795
Rajendra Nagar,25.58662518,85.16713063,-83.71143747,0,3.065208498,99.75555791,4G,-79.87732386,-93.59235981,-84.41883656
Bailey Road,25.56428383,85.04786845,-86.31122709,0,2.259100733,135.1991062,3G,0,0,0
Gandhi Maidan,25.56711209,85.2573473,-85.23682117,0,9.931880878,92.33135539,4G,-84.69687754,-92.19318322,-83.29183693
Phulwari Sharif,25.66896536,85.28096063,-93.6072211,0,85.69195963,15.86177346,5G,-92.15808114,-101.3109292,-94.09140293
Pataliputra,25.6194726,85.0864624,-94.01553132,0,1.14025109,119.7326577,3G,0,0,0
Rajendra Nagar,25.50589432,84.99682001,-85.07963178,0,1.645450486,139.1477184,LTE,-85.20174871,-94.15298686,-85.42508517
Exhibition Road,25.54208298,85.08383043,-96.1630129,0,9.616451539,93.07215999,4G,-92.51317426,-104.1299214,-98.52112565
Gardanibagh,25.60226332,84.98754062,-105.1459281,0,14.75639898,49.77353314,5G,-101.0873512,-111.7535117,-102.486714
Boring Road,25.49241663,84.99849821,-91.63177499,0,4.935144715,59.41869238,4G,-93.16696889,-96.77443455,-88.76929634
Kidwaipuri,25.47282427,85.20266708,-81.51475229,0,2.725757756,135.2532576,3G,0,0,0
Boring Road,25.47057738,85.06679281,-94.51526529,0,73.97911769,38.96111102,5G,-93.21287141,-103.0878087,-96.51249185
Kidwaipuri,25.67044911,85.23821386,-90.95326718,0,4.868025396,84.181647,4G,-94.6263583,-100.4373102,-91.19227436
Exhibition Road,25.44584116,85.121413,-93.15644878,0,6.833093674,72.89698197,4G,-92.49676154,-100.2960021,-91.94384226
Gandhi Maidan,25.59450659,84.97674675,-89.90115734,0,80.36772207,16.4173679,5G,-94.41973347,-96.87236258,-90.43700748
Danapur,25.64729119,85.08473027,-85.77015751,0,1.252846511,100.6575608,3G,0,0,0
Exhibition Road,25.49769341,85.17456704,-91.23097618,0,5.835277314,64.71664823,4G,-90.07750245,-97.38655408,-91.53135746
Kidwaipuri,25.68215813,85.07971733,-92.04591271,0,86.16008766,47.38513625,5G,-94.35662245,-99.00883871,-90.70249592
Pataliputra,25.69521436,85.08184861,-90.09530808,0,2.073045043,105.3195476,3G,0,0,0
Kidwaipuri,25.59299212,84.959162,-92.2108236,0,2.470945626,159.6751647,LTE,-91.87513447,-97.93162188,-91.77080296
Pataliputra,25.43069242,85.11532464,-95.98078626,0,33.13736565,31.96663929,5G,-93.61742399,-101.8958469,-95.88900609
Anisabad,25.52719669,85.03707592,-98.18205591,0,26.2042114,25.5358682,5G,-101.8654069,-104.730071,-96.92157342
Gandhi Maidan,25.48868267,85.13822099,-90.21626533,0,81.12550023,28.27140814,5G,-89.90560895,-98.93783975,-88.51155438
Gandhi Maidan,25.51951143,85.01906282,-93.1652149,0,12.9066397,14.07157246,5G,-90.93377855,-102.3898041,-93.50417456
Phulwari Sharif,25.54514691,85.18267032,-99.42605167,0,27.74921652,41.76827515,5G,-94.88273548,-108.6838672,-98.33993736
Boring Road,25.57731217,85.16708984,-84.01587713,0,2.032378012,179.0707792,3G,0,0,0
Danapur,25.63145542,85.18169508,-95.00877472,0,13.0957373,13.30292414,5G,-98.91349204,-100.5547805,-95.58455885
Anandpuri,25.74806369,85.11040678,-86.7653416,0,1.742097532,174.9346514,LTE,-85.97518431,-92.41907626,-86.48379285
Danapur,25.43733409,85.14101637,-87.30569613,0,1.91485596,146.0824764,3G,0,0,0
Kankarbagh,25.56509409,85.07981065,-93.25203699,0,7.805370494,56.16750792,4G,-89.67161282,-100.8513896,-90.7931831
Gardanibagh,25.74015432,85.09913723,-92.0202042,0,2.393677452,150.5661869,LTE,-88.70252591,-98.31502545,-90.46177616
Boring Road,25.58982178,85.05305961,-83.48612006,0,1.592702612,110.2984135,3G,0,0,0
Anandpuri,25.58804604,85.28128127,-94.57993035,0,7.709662033,90.95544,4G,-94.50259945,-104.0204303,-95.26811993
Phulwari Sharif,25.58720231,85.04638578,-86.70442259,0,9.558042843,95.31821185,4G,-82.85892737,-92.77217002,-87.94647373
Fraser Road,25.66506758,85.00838586,-93.01687183,0,2.049604075,106.5837347,LTE,-94.16489774,-102.3225698,-95.62866079
Patliputra Colony,25.59231761,85.0213804,-90.08453478,0,8.75178668,86.32703458,4G,-91.87744424,-96.06628946,-92.53660014
Danapur,25.59188643,85.19298777,-86.78556864,0,2.593498069,153.3181447,LTE,-84.7131061,-92.38765498,-84.56699957
Anisabad,25.60244833,85.29821125,-89.04437217,0,1.265591375,170.841486,LTE,-84.71109345,-94.33588894,-88.48403574
Phulwari Sharif,25.51088119,85.16595047,-81.63086036,0,6.712282768,69.67754751,4G,-80.2510786,-87.97516016,-83.24148116
Gandhi Maidan,25.70442799,85.19318693,-86.34665931,0,5.52006543,51.03259282,4G,-90.91481694,-92.69488649,-87.71520348
Anandpuri,25.47410796,85.0199284,-92.55299438,0,2.421912446,102.1346099,LTE,-87.57010274,-97.91269451,-94.83448189
Ashok Rajpath,25.50319982,85.0959879,-88.42011455,0,8.666770242,73.47225143,4G,-92.26472199,-94.22827739,-90.99173193
Phulwari Sharif,25.53677702,85.10153899,-95.09841509,0,6.845279683,69.49917907,4G,-92.64639224,-102.1805527,-95.81040433
Gardanibagh,25.4759222,85.17357205,-89.23952697,0,5.208249946,80.91139481,4G,-88.89617449,-94.53990599,-89.62994618
Danapur,25.66931337,85.27953584,-88.39849707,0,2.530759419,101.9993992,3G,0,0,0
Kumhrar,25.47362763,85.15466146,-85.74067719,0,3.008906532,92.60940381,4G,-88.92659753,-94.36811731,-86.57102278
Exhibition Road,25.61387061,85.24724685,-91.31826285,0,1.691261786,107.2744498,LTE,-91.55605527,-98.46283194,-90.65037199
Kankarbagh,25.49415907,85.18363318,-90.91649851,0,3.604979904,65.56406809,4G,-93.3285775,-98.97372202,-88.89283897
Fraser Road,25.4856746,85.21211612,-92.80345462,0,5.722680031,58.20386618,4G,-93.831774,-100.0185176,-95.55748873
Patliputra Colony,25.74521259,85.21305588,-97.99633107,0,2.338155695,164.574936,LTE,-100.3365904,-103.279938,-95.07835119
Anandpuri,25.57992407,85.00077374,-97.32782119,0,1.168848769,143.3388856,LTE,-95.84681782,-103.3155407,-98.87899072
Kumhrar,25.75571032,85.12737517,-84.74373517,0,2.769708101,158.4519786,3G,0,0,0
Kidwaipuri,25.58129294,84.97304124,-87.69758152,0,2.869070941,174.6049221,3G,0,0,0
Kumhrar,25.48061039,85.2175043,-88.69077658,0,2.942566769,183.8334686,3G,0,0,0
S.K. Puri,25.67059855,85.10157806,-89.22932138,0,3.214137895,50.10077871,4G,-87.39187646,-96.94972094,-91.61241521
Gardanibagh,25.53724672,85.04014239,-100.8798882,0,64.02803189,20.48412382,5G,-105.6066586,-106.068513,-99.38723224
Rajendra Nagar,25.63170092,85.05087254,-95.19494977,0,9.485019555,65.89131422,4G,-99.28961219,-101.1837409,-93.36813726
Kidwaipuri,25.4852871,85.24157735,-97.36044761,0,22.60730871,29.54270317,5G,-93.15946434,-103.619503,-95.30738364
Rajendra Nagar,25.62532897,85.26737374,-89.52527411,0,1.192105865,128.2385021,3G,0,0,0
Gandhi Maidan,25.58671189,85.15294044,-83.78404203,0,2.717083152,184.5671846,3G,0,0,0
S.K. Puri,25.6354399,85.19348456,-80.8791376,0,6.887269187,85.59642186,4G,-85.47906946,-88.39805205,-78.70730623
Kidwaipuri,25.73983789,85.18256738,-91.4484932,0,2.913211782,192.5357297,3G,0,0,0
Anisabad,25.62475751,85.30042242,-92.85550651,0,6.088263578,55.78273112,4G,-96.84151496,-102.7261089,-91.23311763
Exhibition Road,25.71487328,85.13423677,-95.86365577,0,4.763876741,71.10118491,4G,-95.20711099,-105.8415721,-97.25158884
Danapur,25.47131443,85.21040049,-87.07166692,0,34.88319132,13.61862162,5G,-88.45199061,-96.9751135,-87.28313851
Anisabad,25.65728827,85.25666037,-84.01219202,0,2.338285855,166.4182319,3G,0,0,0
Anandpuri,25.7463746,85.11648451,-93.49009917,0,3.156965088,91.26240714,4G,-92.10889852,-102.8233572,-92.78523382
Kankarbagh,25.62894136,85.26800469,-95.42968482,0,58.44111956,34.98295194,5G,-95.87076318,-104.6964676,-97.52750909
Pataliputra,25.58488159,85.25537542,-94.45383998,0,2.835097215,198.1694342,LTE,-91.29841196,-101.6433172,-91.88519892
Kankarbagh,25.7565597,85.17990675,-85.55709186,0,3.71309187,87.24153856,4G,-85.87819378,-91.06292649,-86.41990327
Kankarbagh,25.59722084,84.96257651,-91.17713927,0,1.336004602,119.1013519,LTE,-87.62742359,-100.3424648,-93.90269047
Anisabad,25.54457997,85.25626738,-96.34866592,0,48.21756481,36.73095522,5G,-94.69303042,-106.2341561,-96.61448136
Pataliputra,25.67922079,85.22494587,-86.36590416,0,1.751672023,104.2875531,LTE,-85.47285843,-94.59855617,-87.30986212
Danapur,25.50362632,85.00215981,-89.23019121,0,52.62246097,23.29171128,5G,-86.01094374,-94.43888967,-87.04630009
Boring Canal Road,25.6934602,85.07992686,-89.83316962,0,71.90662595,12.28291845,5G,-89.14558134,-97.95150126,-88.58048874
Ashok Rajpath,25.7472505,85.06405128,-95.36040339,0,69.58874947,37.66268997,5G,-93.9071488,-102.5907982,-95.44362131
Kumhrar,25.72195478,85.17859809,-84.67843887,0,2.934650514,147.1020678,3G,0,0,0
Kankarbagh,25.4685902,85.24581675,-86.20657745,0,2.398302855,170.8867033,3G,0,0,0
Exhibition Road,25.74952377,85.07882938,-84.00305689,0,2.794181522,138.2019214,3G,0,0,0
Gardanibagh,25.59983457,85.31175636,-82.6193871,0,2.386697098,190.0081827,3G,0,0,0
Pataliputra,25.75671115,85.16366017,-85.14050859,0,8.668131709,67.83844552,4G,-83.59736788,-93.38834646,-84.28421646
